nazwa_badania,czas_trwania,koszt
morfologia krwi,60,760
tomografia komputerowa,215,504
badanie moczu,265,8
USG jamy brzusznej,215,617
EKG (elektrokardiogram),260,1155
EEG (elektroencefalogram),165,908
test na cholesterol,200,210
badanie poziomu cukru,75,813
badanie wzroku,300,939
spirometria,90,419
badanie s³uchu,225,806
próba wysi³kowa,130,1187
RTG klatki piersiowej,170,7439
mammografia,135,1108
test na HIV,155,173
badanie poziomu witaminy D,275,431
test PSA,215,466
badanie TSH (tarczyca),245,566
test na alergie,110,7
markery nowotworowe,205,604
biopsja skóry,40,320
densytometria (gêstoœæ koœci),140,845
badanie ka³u,255,247
test w¹trobowy,30,1167
test nerkowy,185,1058
badanie prostaty,90,553
test na anemiê,115,909
glukoza na czczo,5,690
posiew bakteryjny,20,988
test na infekcje,160,942
badanie hormonów,300,165
morfologia krwi,15,80
tomografia komputerowa,20,836
badanie moczu,15,822
USG jamy brzusznej,260,4753
EKG (elektrokardiogram),175,1209
EEG (elektroencefalogram),55,367
test na cholesterol,35,1023
badanie poziomu cukru,110,263
badanie wzroku,75,3024
spirometria,185,626
badanie s³uchu,215,283
próba wysi³kowa,40,157
RTG klatki piersiowej,245,311
mammografia,265,237
test na HIV,235,966
badanie poziomu witaminy D,30,975
test PSA,30,293
badanie TSH (tarczyca),255,263
test na alergie,70,120
markery nowotworowe,170,1150
biopsja skóry,225,46
densytometria (gêstoœæ koœci),80,7106
badanie ka³u,175,4352
test w¹trobowy,220,249
test nerkowy,180,530
badanie prostaty,130,648
test na anemiê,55,806
glukoza na czczo,280,1069
posiew bakteryjny,5,330
test na infekcje,240,596
badanie hormonów,150,524
